iter,elapsed_s,status_final
1,4.69,Idle
2,4.11,Idle
3,0.54,Idle
4,9.50,Idle
5,5.16,Idle
6,5.65,Idle
7,5.65,Idle
8,5.26,Idle
9,0.59,Idle
10,11.24,Idle
11,6.56,Idle
12,6.31,Idle
13,6.55,Idle
14,7.53,Idle
15,7.32,Idle
16,7.37,Idle
17,8.71,Idle
18,8.07,Idle
19,8.10,Idle
20,8.78,Idle
