Animal ID;Day_pre_5;Day_pre_4;Day_pre_3;Day_pre_2;Day_pre_1;Day_post_1;Day_post_2;Day_post_3;Day_post_4;Day_post_5
1;37;48;51;50;58;46;63;63;70;75
2;34;41;55;57;60;64;60;59;58;59
3;33;30;38;36;42;48;41;43;37;55
4;40;67;50;52;46;101;46;45;34;77
5;42;56;57;56;68;58;54;53;62;54
6;30;47;46;44;63;57;61;51;48;49
7;54;76;59;58;63;70;61;66;69;77
8;42;40;52;46;57;102;44;44;39;43
9;35;37;41;45;79;50;45;41;52;44
10;62;71;79;68;58;44;48;75;79;77
11;58;58;57;72;55;58;47;48;47;55
12;51;52;41;48;48;87;52;58;86;71
13;29;40;44;83;55;77;74;57;162;43
14;30;40;47;45;52;48;48;42;42;51
15;18;28;33;35;40;52;41;33;38;39
16;25;50;63;115;51;75;61;57;71;53
17;37;37;45;47;49;53;42;40;41;53
18;51;42;52;60;61;82;58;53;62;54
19;51;55;50;52;57;93;87;66;82;97
20;40;35;40;41;64;62;50;51;56;55
21;45;45;50;38;40;57;46;41;50;47
22;45;47;86;59;76;92;54;62;60;51
