,pre.mean.mCherry,pre.mean.Gi,pre.mean.Gq,pre.sd.mCherry,pre.sd.Gi,pre.sd.Gq,post.mean.mCherry,post.mean.Gi,post.mean.Gq,post.sd.mCherry,post.sd.Gi,post.sd.Gq
1,58.9090909090909,60,62.4,23.1493176808931,24.0790365255755,25.81214184578,81.9090909090909,89.7272727272727,82.9,27.0682638728624,29.6043608581267,27.2292734631928
2,63.5454545454545,56.1818181818182,58.9,30.6051094961728,23.8319876712715,26.1170442431758,71,71.1818181818182,72.3,27.0813589023889,27.7337995298812,28.1071363022118
3,55.7272727272727,61.7272727272727,60.6,26.1728520000817,26.0924928249139,27.6373338479352,73.1818181818182,70.0909090909091,68,35.3321898042513,30.9885609393355,28.9443911281232
4,74.1818181818182,78.2727272727273,85.6,30.0560083238549,30.9550994477191,31.9102909210597,74,74.6363636363636,77.6,28.3936612644442,26.4245065319023,27.2771780879996
5,66.2727272727273,70.6363636363636,66.3,23.6773770046047,26.5528632251692,25.2984408830092,77.4545454545455,78.8181818181818,78.4,31.9542286289738,28.0350430062741,27.1628831721197
