Animal ID;Day_pre_5;Day_pre_4;Day_pre_3;Day_pre_2;Day_pre_1;Day_post_1;Day_post_2;Day_post_3;Day_post_4;Day_post_5
1;110;106;137;153;144;63;58;30;84;60
2;75;56;115;69;52;71;79;47;86;50
3;158;93;56;77;110;133;104;102;106;167
4;138;145;136;213;130;134;135;116;191;113
5;94;100;60;122;114;93;128;98;133;130
6;53;57;32;63;79;165;85;88;116;79
7;66;58;85;121;76;87;111;82;68;106
8;111;63;55;87;120;144;145;107;100;85
9;105;70;79;107;84;138;155;93;132;109
10;79;52;66;87;100;78;74;55;68;163
11;36;71;65;144;150;82;92;89;94;110
12;66;51;54;56;55;64;82;104;104;105
13;103;57;71;115;58;91;49;118;91;96
14;67;38;78;53;63;80;59;68;102;139
15;83;69;86;83;91;90;99;130;127;165
16;116;68;66;70;79;115;123;97;84;136
17;171;115;131;138;107;112;118;199;158;151
18;133;133;88;135;140;158;143;177;190;162
19;102;52;93;70;73;123;89;135;89;157
20;144;102;112;133;120;206;150;198;223;197
21;220;159;131;214;177;189;168;121;188;193
22;148;53;77;105;77;124;76;145;103;134
23;74;67;100;81;54;142;101;87;86;110
24;74;40;57;38;70;60;61;141;78;72
