Animal ID;Day_pre_5;Day_pre_4;Day_pre_3;Day_pre_2;Day_pre_1;Day_post_1;Day_post_2;Day_post_3;Day_post_4;Day_post_5
1;32;59;28;41;68;129;112;152;117;73
2;51;63;57;70;46;82;49;61;79;95
3;60;71;78;127;79;70;47;44;64;50
4;31;50;42;45;53;48;12;14;43;54
5;81;72;100;121;61;127;63;47;68;67
6;35;45;39;30;50;65;50;40;54;38
7;58;48;36;97;86;88;104;54;58;86
8;79;85;99;106;110;109;98;66;70;109
9;42;36;72;81;83;80;37;48;50;45
10;30;51;57;49;56;62;50;56;38;57
11;38;43;55;66;51;53;39;28;36;55
12;48;38;68;45;38;72;61;63;59;60
13;53;52;91;82;63;105;68;79;68;62
14;40;44;46;70;42;67;35;39;45;38
15;34;39;47;69;46;57;47;16;33;40
16;68;41;24;61;67;64;62;96;65;62
17;67;48;38;82;85;91;98;72;101;103
18;93;9;10;79;108;66;112;92;89;87
19;78;49;38;60;57;85;72;50;87;73
20;103;151;85;122;118;134;81;96;100;75
21;39;40;47;67;30;52;47;67;51;50
22;95;83;88;59;105;119;97;92;108;103
23;50;40;26;71;31;88;72;49;61;71
24;41;46;56;41;48;67;71;62;66;81
25;61;79;77;93;62;73;61;62;61;66
26;59;84;78;87;75;107;112;94;101;126
27;68;72;44;42;47;47;58;123;115;147
28;130;111;124;143;112;146;112;97;105;119
29;55;42;44;140;49;77;89;94;129;117
30;65;86;54;80;78;70;90;110;90;79
31;64;55;66;86;89;126;84;99;91;109
32;84;74;84;121;76;91;97;94;109;106
